"ID","Question","Category","Response","Keywords","Examples","Date","Status"
"324","""What is the company's policy on remote work?""","""Personal Information""","""You can update your personal information by logging into the employee portal and navigating to the profile section.""","""Employment verification,HR request,Employment letter""","""How do I get IT help?""","""2024-05-05""","""TRAIN"""
"325","""What is the company's leave policy?""","""Personal Information""","""For IT support, please contact the IT helpdesk via email at support@company.com.""","""Update personal information,Employee portal,Profile section""","""Can I work from home?""","""2022-11-02""","""TEST"""
"326","""Who should I contact for IT support?""","""Leave Policy""","""Performance reviews are conducted annually. Please check with HR for specific dates and procedures.""","""Pay stubs,Employee portal,Payroll section""","""How do I report harassment?""","""2024-02-15""","""TRAIN"""
"327","""How can I request time off?""","""Leave Policy""","""You can access your pay stubs through the payroll section of the employee portal.""","""IT support,Helpdesk,Contact IT""","""How do I report harassment?""","""2020-12-07""","""VALIDATE"""
"328","""What benefits does the company offer?""","""Employee Benefits""","""Our company allows remote work for eligible positions. Please consult with your manager to see if you qualify.""","""Request time off,Leave request form,Employee portal""","""How do I report harassment?""","""2022-07-28""","""TEST"""
"329","""How can I update my personal information?""","""IT Support""","""For IT support, please contact the IT helpdesk via email at support@company.com.""","""Request time off,Leave request form,Employee portal""","""How can I get an employment verification letter?""","""2024-02-25""","""VALIDATE"""
"330","""How do I request a copy of my employment verification?""","""Workplace Harassment""","""Our company offers various types of leave including annual leave, sick leave, and parental leave.""","""IT support,Helpdesk,Contact IT""","""How do I get IT help?""","""2021-12-14""","""VALIDATE"""
"331","""What benefits does the company offer?""","""Employment Verification""","""You can update your personal information by logging into the employee portal and navigating to the profile section.""","""Remote work,Eligibility,Manager consultation""","""What are the employee perks?""","""2024-06-17""","""VALIDATE"""
"332","""What is the procedure for performance reviews?""","""Pay Stubs""","""For IT support, please contact the IT helpdesk via email at support@company.com.""","""Performance reviews,Annual review,HR procedures""","""How do I change my address in the system?""","""2021-03-25""","""TRAIN"""
"333","""What is the process for reporting workplace harassment?""","""Employment Verification""","""Our company offers health insurance, retirement plans, and various employee perks.""","""Pay stubs,Employee portal,Payroll section""","""How do I report harassment?""","""2024-07-15""","""TEST"""
"334","""How do I request a copy of my employment verification?""","""Employee Benefits""","""Our company offers various types of leave including annual leave, sick leave, and parental leave.""","""Pay stubs,Employee portal,Payroll section""","""When are performance reviews held?""","""2024-01-29""","""TRAIN"""
"335","""How can I request time off?""","""Leave Request""","""Our company offers various types of leave including annual leave, sick leave, and parental leave.""","""Leave policy,Annual leave,Sick leave,Parental leave""","""How can I get an employment verification letter?""","""2020-01-08""","""TRAIN"""
"336","""How can I request time off?""","""Workplace Harassment""","""Report any incidents of workplace harassment to HR immediately. You can do so via email or in person.""","""Workplace harassment,HR reporting,Email report""","""What are the employee perks?""","""2020-11-22""","""VALIDATE"""
"337","""How can I request time off?""","""Leave Policy""","""You can update your personal information by logging into the employee portal and navigating to the profile section.""","""Workplace harassment,HR reporting,Email report""","""When are performance reviews held?""","""2023-04-02""","""VALIDATE"""
"338","""How do I access my pay stubs?""","""Performance Reviews""","""Our company allows remote work for eligible positions. Please consult with your manager to see if you qualify.""","""Leave policy,Annual leave,Sick leave,Parental leave""","""Where can I find my pay stubs online?""","""2021-02-01""","""TEST"""
"339","""What is the process for reporting workplace harassment?""","""Leave Request""","""To request time off, please submit a leave request form through the employee portal.""","""Workplace harassment,HR reporting,Email report""","""How can I get an employment verification letter?""","""2020-11-04""","""VALIDATE"""
"340","""What is the procedure for performance reviews?""","""IT Support""","""To request time off, please submit a leave request form through the employee portal.""","""Performance reviews,Annual review,HR procedures""","""How do I submit a leave request?""","""2021-07-18""","""VALIDATE"""
"341","""How do I access my pay stubs?""","""Leave Request""","""Report any incidents of workplace harassment to HR immediately. You can do so via email or in person.""","""Update personal information,Employee portal,Profile section""","""How do I submit a leave request?""","""2024-01-31""","""TEST"""
